Iterations,Wide,Narrow
65700,0.950017,0.946214
65800,0.950789,0.946182
65900,0.951117,0.946206
66000,0.951738,0.946231
66100,0.951328,0.946237
66200,0.951213,0.946167
66300,0.951684,0.946229
66400,0.951715,0.946122
66500,0.9516,0.946165
66600,0.951339,0.946096
66700,0.950787,0.946177
66800,0.950819,0.94622
66900,0.950706,0.946319
67000,0.950738,0.946306
67100,0.950625,0.94633
67200,0.950802,0.946354
67300,0.950111,0.946434
67400,0.950577,0.946495
67500,0.950609,0.946593
67600,0.950928,0.946505
67700,0.951391,0.946418
67800,0.951278,0.946313
67900,0.951452,0.946429
68000,0.950768,0.946489
68100,0.950942,0.946402
68200,0.951258,0.946316
68300,0.951716,0.946358
68400,0.951462,0.946455
68500,0.951634,0.946387
68600,0.951097,0.946447
68700,0.95042,0.946379
68800,0.950593,0.946166
68900,0.950907,0.946208
69000,0.951219,0.946159
69100,0.95125,0.946111
69200,0.951842,0.946044
69300,0.952152,0.946032
69400,0.951761,0.946037
69500,0.95207,0.946115
69600,0.951819,0.946013
69700,0.952267,0.946162
69800,0.951878,0.945971
69900,0.952463,0.945941
70000,0.952214,0.945839
70100,0.952381,0.945934
70200,0.952271,0.9461
70300,0.952852,0.946159
70400,0.953708,0.946236
70500,0.953183,0.946259
70600,0.953899,0.94637
70700,0.954062,0.946376
70800,0.9545,0.946469
70900,0.954387,0.946403
71000,0.954002,0.946285
71100,0.953891,0.946273
71200,0.954189,0.946331
71300,0.954624,0.946283
71400,0.955602,0.946306
71500,0.955897,0.946294
71600,0.956327,0.946281
71700,0.957027,0.946269
71800,0.956913,0.946222
71900,0.957069,0.946262
72000,0.957225,0.946337
72100,0.957246,0.946359
72200,0.956459,0.946416
72300,0.956481,0.946559
72400,0.956771,0.946599
72500,0.956926,0.946621
72600,0.957751,0.94666
72700,0.957905,0.94663
72800,0.957524,0.946583
72900,0.95781,0.946519
73000,0.958097,0.946592
73100,0.957717,0.94658
73200,0.958135,0.946551
73300,0.957358,0.946692
73400,0.957379,0.946611
73500,0.957134,0.946701
73600,0.956891,0.946773
73700,0.957043,0.946693
73800,0.956669,0.94668
73900,0.95669,0.94682
74000,0.956711,0.946757
74100,0.956863,0.946761
74200,0.957539,0.946765
74300,0.957558,0.946736
74400,0.957317,0.946573
74500,0.957728,0.946342
74600,0.957487,0.946263
74700,0.957897,0.946235
74800,0.957526,0.946307
74900,0.958584,0.946245
75000,0.958862,0.94615
75100,0.958491,0.946272
75200,0.95851,0.94626
75300,0.958657,0.946215
75400,0.95803,0.946121
75500,0.958693,0.946109
75600,0.958839,0.946164
75700,0.958472,0.946103
75800,0.957977,0.946158
75900,0.957355,0.946146
76000,0.957119,0.946036
76100,0.957522,0.946041
76200,0.957924,0.945915
76300,0.957943,0.945937
76400,0.957198,0.945942
76500,0.957853,0.945964
76600,0.957237,0.945855
76700,0.957256,0.94586
76800,0.957276,0.945915
76900,0.957043,0.945888
77000,0.956557,0.945893
77100,0.956577,0.945963
77200,0.956094,0.945871
77300,0.956492,0.945763
77400,0.956638,0.945688
77500,0.956909,0.94571
77600,0.957555,0.945699
77700,0.957449,0.945608
77800,0.957343,0.945501
77900,0.957362,0.945507
78000,0.958004,0.945577
78100,0.958023,0.945679
78200,0.957916,0.945748
78300,0.957686,0.94569
78400,0.957581,0.945615
78500,0.95698,0.945446
78600,0.956876,0.945483
78700,0.956772,0.945521
78800,0.956791,0.945543
78900,0.956441,0.945612
79000,0.95683,0.945491
79100,0.956973,0.945465
79200,0.956992,0.945439
79300,0.956766,0.94546
79400,0.957398,0.94545
79500,0.957661,0.945503
79600,0.958046,0.945603
79700,0.957575,0.945609
79800,0.95735,0.945536
79900,0.957369,0.945479
80000,0.95763,0.945594
80100,0.958377,0.94563
80200,0.958152,0.945527
80300,0.957927,0.945548
80400,0.958066,0.9456
80500,0.958325,0.945652
80600,0.958945,0.945704
80700,0.959564,0.945647
80800,0.958978,0.945606
80900,0.958514,0.945566
81000,0.958291,0.945478
81100,0.958068,0.945469
81200,0.958325,0.945443
81300,0.958103,0.945449
81400,0.95824,0.94524
81500,0.95766,0.945261
81600,0.957797,0.945129
81700,0.958172,0.945119
81800,0.957832,0.945034
81900,0.958562,0.944979
82000,0.958342,0.944817
82100,0.958832,0.944823
82200,0.95873,0.944799
82300,0.958629,0.944957
82400,0.958763,0.944918
82500,0.958897,0.945045
82600,0.958678,0.945082
82700,0.958342,0.945163
82800,0.958828,0.945109
82900,0.958492,0.945009
83000,0.95804,0.94509
83100,0.958642,0.945036
83200,0.958659,0.944892
83300,0.958675,0.944928
83400,0.958924,0.944964
83500,0.958707,0.945015
83600,0.959538,0.945111
83700,0.959901,0.945087
83800,0.9598,0.945092
83900,0.96051,0.945113
84000,0.960292,0.945104
84100,0.960422,0.945125
84200,0.959974,0.945071
84300,0.959989,0.945077
84400,0.959773,0.945187
84500,0.960248,0.945207
84600,0.960032,0.945272
84700,0.959702,0.945277
84800,0.959717,0.945209
84900,0.959961,0.945141
85000,0.960433,0.945206
85100,0.960104,0.945123
85200,0.960689,0.945144
85300,0.960474,0.945032
85400,0.959919,0.944994
85500,0.959819,0.945073
85600,0.959266,0.94505
85700,0.959281,0.944997
85800,0.959636,0.944945
85900,0.959311,0.944892
86000,0.959552,0.944884
86100,0.95968,0.94489
86200,0.959582,0.944794
86300,0.959709,0.944844
86400,0.959611,0.944806
86500,0.959401,0.944725
86600,0.959528,0.944746
86700,0.959879,0.944766
86800,0.960005,0.944715
86900,0.960019,0.944635
87000,0.959921,0.94467
87100,0.960159,0.94469
87200,0.959949,0.944667
87300,0.960186,0.944674
87400,0.959866,0.944708
87500,0.95988,0.944729
87600,0.959783,0.944735
87700,0.960019,0.944684
87800,0.960144,0.944604
87900,0.959936,0.944568
88000,0.95984,0.944645
88100,0.959854,0.944665
88200,0.959758,0.944615
88300,0.959882,0.944663
88400,0.960006,0.944726
88500,0.95969,0.944831
88600,0.960143,0.944893
88700,0.960376,0.944969
88800,0.960499,0.944961
88900,0.960512,0.944896
89000,0.961071,0.944874
89100,0.961084,0.944753
89200,0.961096,0.944703
89300,0.961544,0.944821
89400,0.961339,0.944771
89500,0.961134,0.944763
89600,0.96082,0.944768
89700,0.960725,0.944705
89800,0.960738,0.94478
89900,0.959993,0.944758
90000,0.960115,0.944736
90100,0.960452,0.944797
90200,0.960465,0.944817
90300,0.960263,0.944726
90400,0.960276,0.944842
90500,0.959967,0.944876
90600,0.959766,0.944881
90700,0.959458,0.944873
90800,0.959793,0.944865
90900,0.960128,0.944857
91000,0.960248,0.944863
91100,0.960261,0.944882
91200,0.960168,0.944819
91300,0.960181,0.944852
91400,0.959981,0.944899
91500,0.960101,0.944932
91600,0.96022,0.944814
91700,0.960021,0.944779
91800,0.960246,0.944798
91900,0.960471,0.944831
92000,0.95985,0.944864
92100,0.959969,0.944775
92200,0.959876,0.944889
92300,0.959679,0.944962
92400,0.960008,0.944995
92500,0.959496,0.944851
92600,0.95951,0.944911
92700,0.959314,0.94497
92800,0.959432,0.944908
92900,0.959237,0.944887
93000,0.959669,0.945027
93100,0.959369,0.945059
93200,0.959279,0.944984
93300,0.959084,0.944909
93400,0.958578,0.9447
93500,0.958384,0.944639
93600,0.958191,0.944525
93700,0.958414,0.944557
93800,0.958325,0.94455
93900,0.958443,0.944555
94000,0.958251,0.944601
94100,0.958472,0.94458
94200,0.959313,0.944586
94300,0.959017,0.944565
94400,0.959443,0.944544
94500,0.958942,0.944484
94600,0.958853,0.94449
94700,0.958867,0.944456
94800,0.958882,0.944502
94900,0.9591,0.944613
95000,0.958807,0.944553
95100,0.958515,0.944637
95200,0.958529,0.944643
95300,0.958543,0.944701
95400,0.958456,0.94468
95500,0.958063,0.944634
95600,0.957773,0.944626
95700,0.958093,0.944671
95800,0.958107,0.944624
95900,0.958528,0.944656
96000,0.958339,0.944648
96100,0.959062,0.944758
96200,0.958671,0.944764
96300,0.958584,0.944769
96400,0.9588,0.944852
96500,0.959016,0.944806
96600,0.959029,0.944759
96700,0.959445,0.944804
96800,0.959157,0.944731
96900,0.959271,0.944659
97000,0.959585,0.944665
97100,0.959698,0.944632
97200,0.960311,0.944702
97300,0.960323,0.944733
97400,0.960435,0.944597
97500,0.960048,0.944603
97600,0.96036,0.944467
97700,0.960471,0.944447
97800,0.960086,0.944479
97900,0.960396,0.944548
98000,0.960507,0.944541
98100,0.96042,0.944483
98200,0.960828,0.944526
98300,0.960939,0.944621
98400,0.961148,0.944588
98500,0.961159,0.944518
98600,0.960973,0.944485
98700,0.960984,0.944529
98800,0.961193,0.944674
98900,0.961105,0.944692
99000,0.961215,0.94471
99100,0.961618,0.94474
99200,0.961237,0.944783
99300,0.960954,0.944851
99400,0.961161,0.944869
99500,0.960684,0.944786
99600,0.960403,0.944804
99700,0.960414,0.944847
99800,0.960426,0.944802
99900,0.960535,0.944982
100000,0.960644,0.945063
